driver_id,day,duty_start,duty_end,tour_ids,hours
D_PT001,0,210,480,T_0_210_1,4.5
D_PT002,0,210,480,T_0_210_2,4.5
D_PT003,0,225,495,T_0_225_1,4.5
D_PT004,0,225,495,T_0_225_2,4.5
D_PT005,0,270,540,T_0_270_1,4.5
D_PT006,0,270,540,T_0_270_2,4.5
D_PT007,0,300,570,T_0_300_1,4.5
D_PT008,0,300,570,T_0_300_5,4.5
D_PT009,0,300,570,T_0_300_6,4.5
D_PT010,0,300,570,T_0_300_7,4.5
D_PT011,0,300,570,T_0_300_9,4.5
D_PT012,0,300,570,T_0_300_10,4.5
D_PT013,0,315,585,T_0_315_1,4.5
D_PT014,0,315,585,T_0_315_5,4.5
D_PT015,0,330,600,T_0_330_1,4.5
D_PT016,0,330,600,T_0_330_3,4.5
D_PT017,0,330,600,T_0_330_5,4.5
D_PT018,0,330,600,T_0_330_6,4.5
D_PT019,0,330,600,T_0_330_7,4.5
D_PT020,0,330,600,T_0_330_8,4.5
D_PT021,0,330,600,T_0_330_9,4.5
D_PT022,0,330,600,T_0_330_10,4.5
D_PT023,0,345,615,T_0_345_2,4.5
D_PT024,0,345,615,T_0_345_4,4.5
D_PT025,0,345,615,T_0_345_7,4.5
D_PT026,0,345,615,T_0_345_9,4.5
D_PT027,0,345,615,T_0_345_11,4.5
D_PT028,0,360,630,T_0_360_3,4.5
D_PT029,0,360,630,T_0_360_4,4.5
D_PT030,0,390,660,T_0_390_3,4.5
D_PT031,0,390,660,T_0_390_5,4.5
D_PT032,0,390,660,T_0_390_8,4.5
D_PT033,0,390,660,T_0_390_9,4.5
D_PT034,0,390,660,T_0_390_10,4.5
D_PT035,0,405,675,T_0_405_1,4.5
D_PT036,0,405,675,T_0_405_2,4.5
D_PT037,0,405,675,T_0_405_3,4.5
D_PT038,0,405,675,T_0_405_4,4.5
D_PT039,0,405,675,T_0_405_5,4.5
D_PT040,0,405,675,T_0_405_6,4.5
D_PT041,0,405,675,T_0_405_7,4.5
D_PT042,0,405,675,T_0_405_10,4.5
D_PT043,0,405,675,T_0_405_11,4.5
D_PT044,0,420,690,T_0_420_1,4.5
D_PT045,0,420,690,T_0_420_2,4.5
D_PT046,0,420,690,T_0_420_3,4.5
D_PT047,0,435,705,T_0_435_1,4.5
D_PT048,0,435,705,T_0_435_2,4.5
D_PT049,0,450,720,T_0_450_1,4.5
D_PT050,0,450,720,T_0_450_2,4.5
D_PT051,0,480,750,T_0_480_1,4.5
D_PT052,0,495,765,T_0_495_1,4.5
D_PT053,0,495,765,T_0_495_2,4.5
D_PT054,0,495,765,T_0_495_3,4.5
D_PT055,0,495,765,T_0_495_8,4.5
D_PT056,0,495,765,T_0_495_9,4.5
D_PT057,0,495,765,T_0_495_10,4.5
D_PT058,0,495,765,T_0_495_11,4.5
D_PT059,0,510,780,T_0_510_4,4.5
D_PT060,0,510,780,T_0_510_6,4.5
D_PT061,0,555,825,T_0_555_2,4.5
D_PT062,0,570,840,T_0_570_1,4.5
D_PT063,0,570,840,T_0_570_2,4.5
D_PT064,0,585,855,T_0_585_1,4.5
D_PT065,0,585,855,T_0_585_3,4.5
D_PT066,0,585,855,T_0_585_6,4.5
D_PT067,0,585,855,T_0_585_7,4.5
D_PT068,0,600,870,T_0_600_3,4.5
D_PT069,0,615,885,T_0_615_1,4.5
D_PT070,0,615,885,T_0_615_2,4.5
D_PT071,0,615,885,T_0_615_4,4.5
D_PT072,0,615,885,T_0_615_9,4.5
D_PT073,0,630,900,T_0_630_1,4.5
D_PT074,0,630,900,T_0_630_2,4.5
D_PT075,0,645,915,T_0_645_3,4.5
D_PT076,0,660,930,T_0_660_3,4.5
D_PT077,0,675,945,T_0_675_1,4.5
D_PT078,0,675,945,T_0_675_4,4.5
D_PT079,0,690,960,T_0_690_1,4.5
D_PT080,0,690,960,T_0_690_3,4.5
D_PT081,0,690,960,T_0_690_5,4.5
D_PT082,0,690,960,T_0_690_8,4.5
D_PT083,0,690,960,T_0_690_9,4.5
D_PT084,0,690,960,T_0_690_11,4.5
D_PT085,0,705,975,T_0_705_1,4.5
D_PT086,0,705,975,T_0_705_2,4.5
D_PT087,0,705,975,T_0_705_3,4.5
D_PT088,0,705,975,T_0_705_4,4.5
D_PT089,0,720,990,T_0_720_2,4.5
D_PT090,0,735,1005,T_0_735_1,4.5
D_PT091,0,750,1020,T_0_750_2,4.5
D_PT092,0,765,1035,T_0_765_2,4.5
D_PT093,0,780,1050,T_0_780_3,4.5
D_PT094,0,825,1095,T_0_825_1,4.5
D_PT095,0,840,1110,T_0_840_4,4.5
D_PT096,0,840,1110,T_0_840_5,4.5
D_PT097,0,840,1110,T_0_840_7,4.5
D_PT098,0,855,1125,T_0_855_1,4.5
D_PT099,0,855,1125,T_0_855_3,4.5
D_PT100,0,855,1125,T_0_855_5,4.5
D_PT101,0,855,1125,T_0_855_7,4.5
D_PT102,0,870,1140,T_0_870_2,4.5
D_PT103,0,870,1140,T_0_870_9,4.5
D_PT104,0,870,1140,T_0_870_10,4.5
D_PT105,0,870,1140,T_0_870_11,4.5
D_PT106,0,885,1155,T_0_885_1,4.5
D_PT107,0,885,1155,T_0_885_2,4.5
D_PT108,0,885,1155,T_0_885_3,4.5
D_PT109,0,885,1155,T_0_885_9,4.5
D_PT110,0,885,1155,T_0_885_10,4.5
D_PT111,0,900,1170,T_0_900_2,4.5
D_PT112,0,900,1170,T_0_900_4,4.5
D_PT113,0,1005,1275,T_0_1005_2,4.5
D_PT114,0,1035,1305,T_0_1035_1,4.5
D_PT115,0,1155,1425,T_0_1155_1,4.5
D_PT116,1,210,480,T_1_210_1,4.5
D_PT117,1,225,495,T_1_225_2,4.5
D_PT118,1,240,510,T_1_240_1,4.5
D_PT119,1,240,510,T_1_240_5,4.5
D_PT120,1,255,525,T_1_255_1,4.5
D_PT121,1,270,540,T_1_270_1,4.5
D_PT122,1,285,555,T_1_285_1,4.5
D_PT123,1,300,570,T_1_300_1,4.5
D_PT124,1,300,570,T_1_300_3,4.5
D_PT125,1,300,570,T_1_300_5,4.5
D_PT126,1,300,570,T_1_300_6,4.5
D_PT127,1,315,585,T_1_315_2,4.5
D_PT128,1,315,585,T_1_315_3,4.5
D_PT129,1,315,585,T_1_315_4,4.5
D_PT130,1,330,600,T_1_330_1,4.5
D_PT131,1,330,600,T_1_330_2,4.5
D_PT132,1,330,600,T_1_330_4,4.5
D_PT133,1,330,600,T_1_330_6,4.5
D_PT134,1,345,615,T_1_345_2,4.5
D_PT135,1,345,615,T_1_345_3,4.5
D_PT136,1,345,615,T_1_345_6,4.5
D_PT137,1,360,630,T_1_360_1,4.5
D_PT138,1,360,630,T_1_360_2,4.5
D_PT139,1,360,630,T_1_360_5,4.5
D_PT140,1,360,630,T_1_360_6,4.5
D_PT141,1,360,630,T_1_360_7,4.5
D_PT142,1,360,630,T_1_360_8,4.5
D_PT143,1,375,645,T_1_375_2,4.5
D_PT144,1,375,645,T_1_375_3,4.5
D_PT145,1,375,645,T_1_375_5,4.5
D_PT146,1,375,645,T_1_375_7,4.5
D_PT147,1,375,645,T_1_375_8,4.5
D_PT148,1,375,645,T_1_375_10,4.5
D_PT149,1,390,660,T_1_390_1,4.5
D_PT150,1,405,675,T_1_405_3,4.5
D_PT151,1,405,675,T_1_405_7,4.5
D_PT152,1,420,690,T_1_420_1,4.5
D_PT153,1,420,690,T_1_420_5,4.5
D_PT154,1,435,705,T_1_435_2,4.5
D_PT155,1,450,720,T_1_450_1,4.5
D_PT156,1,450,720,T_1_450_4,4.5
D_PT157,1,465,735,T_1_465_3,4.5
D_PT158,1,465,735,T_1_465_5,4.5
D_PT159,1,480,750,T_1_480_1,4.5
D_PT160,1,480,750,T_1_480_3,4.5
D_PT161,1,480,750,T_1_480_7,4.5
D_PT162,1,480,750,T_1_480_8,4.5
D_PT163,1,495,765,T_1_495_1,4.5
D_PT164,1,495,765,T_1_495_5,4.5
D_PT165,1,495,765,T_1_495_6,4.5
